Date,Price
31-01-2013,2.1
28-02-2013,3.6
31-03-2013,2.8
30-04-2013,1.6
31-05-2013,6.2
30-06-2013,1.5
31-07-2013,2.8
31-08-2013,3.2
30-09-2013,-0.1
31-10-2013,1.6
30-11-2013,4.6
31-12-2013,2.3
31-01-2014,4.9
28-02-2014,1.8
31-03-2014,0.3
30-04-2014,2.2
31-05-2014,2.6
30-06-2014,-1
31-07-2014,2.3
31-08-2014,1.6
30-09-2014,1.9
31-10-2014,3
30-11-2014,1.6
31-12-2014,1.7
31-01-2015,1.7
28-02-2015,3.6
31-03-2015,2.5
30-04-2015,3.6
31-05-2015,2.1
30-06-2015,3.6
31-07-2015,3.4
31-08-2015,4
30-09-2015,3.3
31-10-2015,4.1
30-11-2015,4.5
31-12-2015,4.5
31-01-2016,3.6
29-02-2016,4.1
31-03-2016,3.2
30-04-2016,1.6
31-05-2016,3.5
30-06-2016,2
31-07-2016,2.4
31-08-2016,0.6
30-09-2016,1.6
31-10-2016,0.1
30-11-2016,2.3
31-12-2016,0.9
31-01-2017,-1.4
28-02-2017,-0.4
31-03-2017,1.1
30-04-2017,3
31-05-2017,2.2
30-06-2017,3.6
31-07-2017,2.2
31-08-2017,5.7
30-09-2017,6.1
31-10-2017,3.9
30-11-2017,8.1
31-12-2017,5.5
31-01-2018,3.8
28-02-2018,5
31-03-2018,5.8
30-04-2018,1
31-05-2018,2.8
30-06-2018,2.1
31-07-2018,1.5
31-08-2018,2.3
30-09-2018,0.5
31-10-2018,2.2
30-11-2018,2.8
31-12-2018,-1.7
31-01-2019,1.2
28-02-2019,1.4
31-03-2019,0.2
30-04-2019,2.8
31-05-2019,1.9
30-06-2019,2.6
31-07-2019,2.2
31-08-2019,1.2
30-09-2019,0.6
31-10-2019,0.7
30-11-2019,2.9
31-12-2019,-0.2
31-01-2020,1.4
29-02-2020,1.9
31-03-2020,3.7
30-04-2020,-47.6
31-05-2020,-11.2
30-06-2020,-6.9
31-07-2020,-8.3
31-08-2020,-3.8
30-09-2020,-2.4
31-10-2020,-2
30-11-2020,-4.8
31-12-2020,-1.2
31-01-2021,-3.9
28-02-2021,2.4
31-03-2021,-2.6
30-04-2021,87
31-05-2021,15
30-06-2021,10.7
31-07-2021,-1
31-08-2021,-1.3
30-09-2021,2.2
31-10-2021,2
30-11-2021,2.7
31-12-2021,3
31-01-2022,8.1
28-02-2022,-0.9
31-03-2022,1.7
30-04-2022,4.3
31-05-2022,0.1
